time_s,type,ax_m/s/s,ay_m/s/s,az_m/s/s,gx_deg/s,gy_deg/s,gz_deg/s,mx_microT,my_microT,mz_microT,qx,qy,qz,qr
0.6671104236111111,lowG,0.27293898925781246,-0.15322890625,9.993397729492187,-1.707317073170732,-0.7317073170731708,0.6707317073170732,-27.3,28.65,43.35,-0.00258053932338953,-0.0021853260695934296,0.000591806136071682,0.9999941074487726
0.6715408055555556,lowG,0.2920926025390625,-0.08140285644531249,9.763554370117188,-2.0121951219512195,-0.6707317073170732,0.426829268292683,-27.3,28.65,43.35,-0.002664214000105858,-0.002259373664855957,0.0006081294268369675,0.9999937136667432
0.6759711875,lowG,0.229843359375,-0.05746083984375,9.911994873046874,-2.1341463414634148,-0.24390243902439027,0.6707317073170732,-27.3,28.65,43.35,-0.002747543156147003,-0.0023044925183057785,0.0006338683888316154,0.9999933692438685
0.6804245694444444,lowG,0.239420166015625,-0.1197100830078125,9.974244116210937,-2.5609756097560976,-0.6707317073170732,0.5487804878048781,-28.349999999999998,29.099999999999998,43.65,-0.0028589563444256783,-0.0023677432909607887,0.000654902309179306,0.9999928956064109
0.6848591388888888,lowG,0.26815058593749996,-0.0718260498046875,9.878476049804688,-1.6463414634146343,-0.426829268292683,0.24390243902439027,-28.349999999999998,29.099999999999998,43.65,-0.0029254667460918427,-0.002426968887448311,0.0006641317158937454,0.9999925551699876
0.6892937083333333,lowG,0.2154781494140625,-0.033518823242187495,9.892841259765625,-1.6463414634146343,-0.3658536585365854,0.9146341463414634,-28.349999999999998,29.099999999999998,43.65,-0.0029843850061297417,-0.0024733562022447586,0.0006993599236011505,0.9999922433953822
0.6937282777777777,lowG,0.4070142822265625,-0.0718260498046875,10.012551342773437,-2.0121951219512195,-0.3658536585365854,0.06097560975609757,-30.15,27.75,43.949999999999996,-0.0030643483623862267,-0.00255652517080307,0.0007013631984591484,0.9999917909852204
0.7025918541666667,lowG,0.277727392578125,-0.15322890625,9.849745629882811,-1.6463414634146343,-0.5487804878048781,0.30487804878048785,-30.15,27.75,43.949999999999996,-0.0032154573127627373,-0.002700626850128174,0.0007316013798117638,0.9999909160628946
0.7070264236111111,lowG,0.258573779296875,-0.09576806640624999,9.854534033203125,-2.073170731707317,-0.7926829268292683,0.426829268292683,-28.05,29.549999999999997,43.35,-0.00330174807459116,-0.002770882099866867,0.0007479097694158554,0.999990430605722
0.7114609930555555,lowG,0.1580173095703125,-0.1197100830078125,9.955090502929687,-2.0121951219512195,-0.7926829268292683,0.6097560975609757,-28.05,29.549999999999997,43.35,-0.0033898791298270226,-0.002821335569024086,0.0007713893428444862,0.9999899768215549
0.7158955625,lowG,0.28730419921875,-0.033518823242187495,9.758765966796874,-1.4634146341463417,-0.1829268292682927,0.06097560975609757,-28.05,29.549999999999997,43.35,-0.0034400494769215584,-0.002873256802558899,0.0007734401151537895,0.9999896560691671
0.7203301319444444,lowG,0.32082302246093747,-0.1388636962890625,9.94072529296875,-1.6463414634146343,-0.30487804878048785,0.30487804878048785,-30.15,28.95,43.5,-0.003517194651067257,-0.0029359478503465652,0.0007849717512726784,0.9999891966273218
0.7247647013888889,lowG,0.2346317626953125,-0.17238251953125,9.883264453125,-1.6463414634146343,-0.5487804878048781,0.5487804878048781,-30.15,28.95,43.5,-0.0036006253212690353,-0.0029912199825048447,0.0008060643449425697,0.9999887191166628
0.7291978333333333,lowG,0.2059013427734375,0.0047884033203125,9.897629663085937,-1.829268292682927,-0.7317073170731708,0.24390243902439027,-30.15,28.95,43.5,-0.0036565540358424187,-0.0030478043481707573,0.0008152574300765991,0.9999883378602777
0.7336282152777778,lowG,0.258573779296875,-0.06703764648437499,9.777919580078125,-1.6463414634146343,-0.48780487804878053,0.6097560975609757,-28.65,28.95,43.949999999999996,-0.0037192804738879204,-0.0031050145626068115,0.0008386177942156792,0.9999879112056894
0.7380585972222221,lowG,0.2920926025390625,-0.009576806640625,9.9215716796875,-1.829268292682927,-0.7926829268292683,0.3658536585365854,-28.65,28.95,43.949999999999996,-0.003777489997446537,-0.003180108033120632,0.0008524814620614052,0.9999874452999766
0.7424889791666666,lowG,0.33518823242187495,0.033518823242187495,9.830592016601562,-1.7682926829268295,-0.7926829268292683,0.3658536585365854,-28.65,28.95,43.949999999999996,-0.0038249343633651733,-0.003263333812355995,0.000866287387907505,0.9999869849531576
0.746919361111111,lowG,0.2920926025390625,-0.0526724365234375,9.95987890625,-1.7682926829268295,-0.6707317073170732,0.48780487804878053,-28.2,28.95,44.699999999999996,-0.0038886629045009613,-0.0033330516889691353,0.0008848812431097031,0.9999864929349993
0.7513497430555556,lowG,0.26336218261718747,-0.11013327636718749,9.859322436523437,-1.524390243902439,-0.5487804878048781,0.5487804878048781,-28.2,28.95,44.699999999999996,-0.003953986801207066,-0.0033923713490366936,0.0009059067815542221,0.999986018471213
0.8225871666666666,lowG,0.354341845703125,-0.033518823242187495,9.97903251953125,-2.0121951219512195,-0.7317073170731708,0.06097560975609757,-29.549999999999997,29.549999999999997,43.35,-0.005037280730903149,-0.004329299554228783,0.001150243915617466,0.9999772796954651
0.8270217361111112,lowG,0.24899697265624998,-0.05746083984375,9.993397729492187,-1.829268292682927,-0.12195121951219513,0.24390243902439027,-29.099999999999998,28.65,42.9,-0.005099550820887089,-0.004365406930446625,0.0011592144146561623,0.9999767967436534
