sep=,
DeviceTag:,Xsens_DOT_02
FirmwareVersion:,1.4.0
AppVersion:,2020.2.2
Measurement Mode:,Sensor fusion Mode - Orientation(Quaternion)
StartTime: ,2020-11-04_15:24:03_812 CET
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
109,2478360044,0.491356,0.009083,0.004857,-0.870898
110,2478376711,0.491326,0.009077,0.004845,-0.870915
111,2478393378,0.491114,0.009078,0.004832,-0.871035
112,2478410045,0.490883,0.009084,0.004845,-0.871165
113,2478426712,0.490903,0.009092,0.004845,-0.871154
114,2478443379,0.490886,0.009102,0.004840,-0.871163
115,2478460046,0.490852,0.009095,0.004843,-0.871182
116,2478476713,0.490493,0.009098,0.004847,-0.871384
117,2478493380,0.490598,0.009043,0.005019,-0.871325
118,2478510047,0.490678,0.009036,0.005018,-0.871280
119,2478526714,0.490617,0.009031,0.005014,-0.871314
120,2478543381,0.490876,0.009023,0.005031,-0.871169
121,2478560048,0.490842,0.009033,0.005022,-0.871188
122,2478576715,0.490800,0.009032,0.005023,-0.871211
123,2478593382,0.490725,0.009033,0.005022,-0.871253
124,2478610049,0.490619,0.009030,0.005021,-0.871313
125,2478626716,0.490739,0.009028,0.005037,-0.871246
126,2478643383,0.490847,0.009034,0.005041,-0.871185
127,2478660050,0.490915,0.009032,0.005038,-0.871146
128,2478676717,0.490897,0.009034,0.005044,-0.871156
129,2478693384,0.490983,0.009027,0.005045,-0.871108
130,2478710051,0.490915,0.009023,0.005048,-0.871146
131,2478726718,0.490917,0.009028,0.005048,-0.871145
132,2478743385,0.490765,0.009033,0.005039,-0.871231
133,2478760052,0.490816,0.009031,0.005045,-0.871202
134,2478776719,0.490996,0.009031,0.005045,-0.871101
135,2478793386,0.490870,0.009038,0.005052,-0.871172
136,2478810053,0.490813,0.009036,0.005053,-0.871204
137,2478826720,0.490757,0.009037,0.005056,-0.871235
138,2478843387,0.490755,0.009034,0.005055,-0.871237
139,2478860054,0.490807,0.009035,0.005063,-0.871207
140,2478876721,0.490966,0.009034,0.005066,-0.871118
141,2478893388,0.491061,0.009039,0.005065,-0.871064
142,2478910055,0.491007,0.009035,0.005058,-0.871094
143,2478926722,0.491004,0.009041,0.005049,-0.871096
144,2478943389,0.490808,0.009041,0.005054,-0.871206
145,2478960056,0.490711,0.009039,0.005051,-0.871261
146,2478976723,0.490785,0.009048,0.005052,-0.871219
147,2478993390,0.490565,0.009044,0.005051,-0.871343
148,2479010057,0.490293,0.009040,0.005052,-0.871497
149,2479026724,0.490304,0.009050,0.005052,-0.871490
150,2479043391,0.490342,0.009056,0.005052,-0.871468
151,2479060058,0.490295,0.009060,0.005050,-0.871495
152,2479076725,0.490337,0.009051,0.005058,-0.871472
153,2479093392,0.490384,0.009053,0.005050,-0.871445
154,2479110059,0.490288,0.009058,0.005061,-0.871499
155,2479126726,0.490346,0.009053,0.005066,-0.871466
156,2479143393,0.490531,0.009052,0.005076,-0.871362
157,2479160060,0.490507,0.009055,0.005080,-0.871375
158,2479176727,0.490515,0.009058,0.005073,-0.871371
159,2479193394,0.490526,0.009062,0.005078,-0.871365
160,2479210061,0.490427,0.009056,0.005081,-0.871421
161,2479226728,0.490522,0.009064,0.005082,-0.871367
162,2479243395,0.490549,0.009072,0.005086,-0.871352
163,2479260062,0.490551,0.009072,0.005083,-0.871351
164,2479276729,0.490818,0.009067,0.005089,-0.871200
165,2479293396,0.490818,0.009052,0.005083,-0.871201
166,2479310063,0.490802,0.009056,0.005085,-0.871210
167,2479326730,0.490866,0.009057,0.005091,-0.871173
168,2479343397,0.490868,0.009052,0.005088,-0.871173
169,2479360064,0.490924,0.009060,0.005087,-0.871141
170,2479376731,0.490930,0.009063,0.005089,-0.871137
171,2479393398,0.490908,0.009064,0.005101,-0.871149
172,2479410065,0.490855,0.009063,0.005107,-0.871180
173,2479426732,0.490878,0.009067,0.005111,-0.871167
174,2479443399,0.490917,0.009066,0.005123,-0.871144
175,2479460066,0.490866,0.009072,0.005132,-0.871173
176,2479476733,0.490853,0.009067,0.005134,-0.871181
177,2479493400,0.490824,0.009074,0.005141,-0.871197
178,2479510067,0.490866,0.009075,0.005158,-0.871173
179,2479526734,0.490926,0.009070,0.005150,-0.871139
180,2479543401,0.490801,0.009059,0.005143,-0.871210
181,2479560068,0.490765,0.009045,0.005144,-0.871230
182,2479576735,0.490771,0.009039,0.005144,-0.871227
183,2479593402,0.490771,0.009032,0.005162,-0.871227
184,2479610069,0.490853,0.009034,0.005156,-0.871180
185,2479626736,0.490876,0.009026,0.005149,-0.871168
186,2479643403,0.490885,0.009024,0.005160,-0.871162
187,2479660070,0.491070,0.009026,0.005161,-0.871059
188,2479676737,0.491232,0.009031,0.005171,-0.870967
189,2479693404,0.491240,0.009046,0.005185,-0.870962
190,2479710071,0.491223,0.009037,0.005184,-0.870972
191,2479726738,0.491102,0.009040,0.005183,-0.871040
192,2479743405,0.491089,0.009042,0.005191,-0.871047
193,2479760072,0.491133,0.009038,0.005198,-0.871023
194,2479776739,0.491085,0.009034,0.005201,-0.871049
195,2479793406,0.491076,0.009023,0.005205,-0.871055
196,2479810073,0.490992,0.009025,0.005205,-0.871102
197,2479826740,0.490965,0.009025,0.005204,-0.871117
198,2479843407,0.491018,0.009014,0.005197,-0.871087
199,2479860074,0.490598,0.009005,0.005194,-0.871324
200,2479876741,0.490505,0.009001,0.005194,-0.871377
201,2479893408,0.490432,0.008990,0.005197,-0.871418
202,2479910075,0.490514,0.008986,0.005194,-0.871372
203,2479926742,0.490566,0.008989,0.005196,-0.871342
204,2479943409,0.490613,0.008993,0.005194,-0.871316
205,2479960076,0.490429,0.008997,0.005188,-0.871419
206,2479976743,0.490483,0.008995,0.005190,-0.871389
207,2479993410,0.490447,0.008998,0.005189,-0.871409
208,2480010077,0.490411,0.008997,0.005189,-0.871430
209,2480026744,0.490375,0.008991,0.005183,-0.871450
210,2480043411,0.490511,0.008989,0.005186,-0.871373
211,2480060078,0.490564,0.008992,0.005181,-0.871344
212,2480076745,0.490510,0.008986,0.005192,-0.871374
213,2480093412,0.490521,0.008990,0.005175,-0.871368
214,2480110079,0.490548,0.008992,0.005177,-0.871353
215,2480126746,0.490553,0.008993,0.005186,-0.871349
216,2480143413,0.490592,0.008985,0.005197,-0.871328
217,2480160080,0.490580,0.008990,0.005188,-0.871335
218,2480176747,0.490501,0.008985,0.005185,-0.871379
219,2480193414,0.490587,0.008985,0.005189,-0.871331
220,2480210081,0.490565,0.008981,0.005198,-0.871343
221,2480226748,0.490601,0.008971,0.005202,-0.871323
222,2480243415,0.490431,0.008976,0.005208,-0.871419
223,2480260082,0.490573,0.008971,0.005206,-0.871339
224,2480276749,0.490488,0.008973,0.005203,-0.871387
225,2480293416,0.490433,0.008985,0.005207,-0.871417
226,2480310083,0.490481,0.008977,0.005211,-0.871390
227,2480326750,0.490482,0.008972,0.005196,-0.871390
228,2480343417,0.490497,0.008968,0.005194,-0.871382
229,2480360084,0.490558,0.008963,0.005209,-0.871347
230,2480376751,0.490282,0.008962,0.005201,-0.871503
231,2480393418,0.490211,0.008964,0.005202,-0.871543
232,2480410085,0.490171,0.008972,0.005195,-0.871565
233,2480426752,0.490236,0.008978,0.005189,-0.871528
234,2480443419,0.490245,0.008982,0.005183,-0.871523
235,2480460086,0.490270,0.008986,0.005189,-0.871509
236,2480476753,0.490321,0.008985,0.005174,-0.871480
237,2480493420,0.490401,0.009030,0.005078,-0.871436
