sep=,
DeviceTag:,Xsens_DOT_01
FirmwareVersion:,1.4.0
AppVersion:,2020.2.2
Measurement Mode:,Sensor fusion Mode - Orientation(Quaternion)
StartTime: ,2020-11-04_15:24:03_784 CET
© Xsens Technologies B. V. 2005-2020

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
109,2478376711,0.803068,0.003805,-0.003877,0.595864
110,2478393378,0.802835,0.003803,-0.003883,0.596177
111,2478410045,0.802841,0.003810,-0.003879,0.596168
112,2478426712,0.802846,0.003812,-0.003873,0.596162
113,2478443379,0.802847,0.003820,-0.003876,0.596160
114,2478460046,0.802925,0.003822,-0.003873,0.596055
115,2478476713,0.803028,0.003822,-0.003877,0.595917
116,2478493380,0.803205,0.003723,-0.003883,0.595678
117,2478510047,0.803187,0.003718,-0.003891,0.595703
118,2478526714,0.803117,0.003703,-0.003907,0.595797
119,2478543381,0.803027,0.003703,-0.003907,0.595918
120,2478560048,0.803012,0.003702,-0.003903,0.595939
121,2478576715,0.803089,0.003708,-0.003891,0.595836
122,2478593382,0.803103,0.003705,-0.003899,0.595816
123,2478610049,0.803231,0.003712,-0.003888,0.595644
124,2478626716,0.803234,0.003718,-0.003887,0.595640
125,2478643383,0.803396,0.003716,-0.003889,0.595422
126,2478660050,0.803390,0.003721,-0.003887,0.595429
127,2478676717,0.803376,0.003723,-0.003888,0.595448
128,2478693384,0.803396,0.003717,-0.003881,0.595421
129,2478710051,0.803488,0.003717,-0.003872,0.595298
130,2478726718,0.803530,0.003716,-0.003875,0.595241
131,2478743385,0.803559,0.003705,-0.003886,0.595201
132,2478760052,0.803559,0.003700,-0.003882,0.595202
133,2478776719,0.803564,0.003701,-0.003880,0.595195
134,2478793386,0.803631,0.003697,-0.003881,0.595104
135,2478810053,0.803672,0.003702,-0.003885,0.595049
136,2478826720,0.803656,0.003701,-0.003889,0.595070
137,2478843387,0.803558,0.003703,-0.003885,0.595203
138,2478860054,0.803549,0.003707,-0.003893,0.595215
139,2478876721,0.803531,0.003703,-0.003894,0.595239
140,2478893388,0.803444,0.003701,-0.003885,0.595357
141,2478910055,0.803538,0.003699,-0.003885,0.595230
142,2478926722,0.803608,0.003710,-0.003875,0.595135
143,2478943389,0.803675,0.003713,-0.003863,0.595045
144,2478960056,0.803680,0.003715,-0.003864,0.595039
145,2478976723,0.803713,0.003716,-0.003856,0.594993
146,2478993390,0.803695,0.003714,-0.003855,0.595018
147,2479010057,0.803717,0.003707,-0.003859,0.594988
148,2479026724,0.803725,0.003699,-0.003859,0.594977
149,2479043391,0.803696,0.003687,-0.003864,0.595016
150,2479060058,0.803616,0.003683,-0.003866,0.595124
151,2479076725,0.803604,0.003680,-0.003854,0.595141
152,2479093392,0.803532,0.003676,-0.003865,0.595238
153,2479110059,0.803485,0.003679,-0.003856,0.595302
154,2479126726,0.803448,0.003690,-0.003856,0.595352
155,2479143393,0.803340,0.003688,-0.003851,0.595497
156,2479160060,0.803328,0.003691,-0.003841,0.595513
157,2479176727,0.803294,0.003687,-0.003844,0.595559
158,2479193394,0.803292,0.003693,-0.003846,0.595561
159,2479210061,0.803230,0.003695,-0.003845,0.595645
160,2479226728,0.803268,0.003692,-0.003846,0.595594
161,2479243395,0.803276,0.003689,-0.003848,0.595584
162,2479260062,0.803401,0.003678,-0.003855,0.595415
163,2479276729,0.803487,0.003679,-0.003854,0.595299
164,2479293396,0.803449,0.003675,-0.003854,0.595350
165,2479310063,0.803449,0.003678,-0.003860,0.595350
166,2479326730,0.803436,0.003682,-0.003860,0.595368
167,2479343397,0.803449,0.003676,-0.003848,0.595350
168,2479360064,0.803510,0.003673,-0.003851,0.595268
169,2479376731,0.803488,0.003673,-0.003843,0.595297
170,2479393398,0.803498,0.003675,-0.003852,0.595284
171,2479410065,0.803445,0.003676,-0.003853,0.595356
172,2479426732,0.803441,0.003674,-0.003846,0.595361
173,2479443399,0.803445,0.003669,-0.003850,0.595356
174,2479460066,0.803441,0.003667,-0.003852,0.595361
175,2479476733,0.803516,0.003662,-0.003843,0.595261
176,2479493400,0.803568,0.003653,-0.003838,0.595190
177,2479510067,0.803563,0.003646,-0.003835,0.595196
178,2479526734,0.803577,0.003640,-0.003840,0.595177
179,2479543401,0.803612,0.003641,-0.003834,0.595130
180,2479560068,0.803659,0.003647,-0.003837,0.595067
181,2479576735,0.803629,0.003640,-0.003831,0.595107
182,2479593402,0.803633,0.003637,-0.003826,0.595103
183,2479610069,0.803638,0.003649,-0.003820,0.595096
184,2479626736,0.803510,0.003652,-0.003821,0.595268
185,2479643403,0.803529,0.003650,-0.003827,0.595242
186,2479660070,0.803543,0.003653,-0.003827,0.595224
187,2479676737,0.803553,0.003655,-0.003827,0.595211
188,2479693404,0.803567,0.003652,-0.003837,0.595191
189,2479710071,0.803742,0.003650,-0.003831,0.594955
190,2479726738,0.803755,0.003651,-0.003836,0.594937
191,2479743405,0.803776,0.003657,-0.003841,0.594909
192,2479760072,0.803812,0.003664,-0.003842,0.594861
193,2479776739,0.803821,0.003663,-0.003835,0.594848
194,2479793406,0.803681,0.003669,-0.003829,0.595038
195,2479810073,0.803745,0.003673,-0.003826,0.594951
196,2479826740,0.803730,0.003667,-0.003829,0.594971
197,2479843407,0.803663,0.003680,-0.003829,0.595062
198,2479860074,0.803676,0.003669,-0.003829,0.595044
199,2479876741,0.803706,0.003674,-0.003832,0.595003
200,2479893408,0.803752,0.003684,-0.003835,0.594941
201,2479910075,0.803687,0.003688,-0.003842,0.595029
202,2479926742,0.803660,0.003686,-0.003838,0.595065
203,2479943409,0.803584,0.003688,-0.003832,0.595168
204,2479960076,0.803646,0.003683,-0.003834,0.595084
205,2479976743,0.803746,0.003682,-0.003829,0.594949
206,2479993410,0.803745,0.003683,-0.003824,0.594950
207,2480010077,0.803777,0.003679,-0.003831,0.594907
208,2480026744,0.803757,0.003678,-0.003828,0.594934
209,2480043411,0.803615,0.003669,-0.003825,0.595127
210,2480060078,0.803636,0.003663,-0.003819,0.595098
211,2480076745,0.803698,0.003662,-0.003819,0.595014
212,2480093412,0.803657,0.003665,-0.003815,0.595070
213,2480110079,0.803569,0.003665,-0.003815,0.595188
214,2480126746,0.803517,0.003662,-0.003816,0.595258
215,2480143413,0.803509,0.003663,-0.003818,0.595270
216,2480160080,0.803491,0.003662,-0.003809,0.595293
217,2480176747,0.803516,0.003664,-0.003811,0.595260
218,2480193414,0.803545,0.003660,-0.003819,0.595221
219,2480210081,0.803562,0.003661,-0.003816,0.595198
220,2480226748,0.803560,0.003658,-0.003817,0.595200
221,2480243415,0.803611,0.003654,-0.003817,0.595132
222,2480260082,0.803555,0.003653,-0.003821,0.595207
223,2480276749,0.803527,0.003654,-0.003821,0.595245
224,2480293416,0.803550,0.003657,-0.003825,0.595214
225,2480310083,0.803549,0.003653,-0.003828,0.595216
226,2480326750,0.803553,0.003654,-0.003830,0.595210
227,2480343417,0.803545,0.003663,-0.003836,0.595221
228,2480360084,0.803456,0.003660,-0.003836,0.595342
229,2480376751,0.803476,0.003652,-0.003831,0.595314
230,2480393418,0.803550,0.003645,-0.003838,0.595214
231,2480410085,0.803523,0.003650,-0.003845,0.595250
232,2480426752,0.803527,0.003649,-0.003846,0.595245
233,2480443419,0.803514,0.003655,-0.003843,0.595263
234,2480460086,0.803485,0.003653,-0.003848,0.595302
235,2480476753,0.803443,0.003647,-0.003857,0.595359
236,2480493420,0.803467,0.003710,-0.003865,0.595326
237,2480510087,0.803252,0.003711,-0.003854,0.595616
238,2480526754,0.803177,0.003714,-0.003848,0.595717
239,2480543421,0.803173,0.003713,-0.003850,0.595722
240,2480560088,0.803217,0.003713,-0.003851,0.595664
241,2480576755,0.803201,0.003720,-0.003846,0.595685
242,2480593422,0.803128,0.003719,-0.003835,0.595784
243,2480610089,0.803204,0.003718,-0.003835,0.595680
244,2480626756,0.803472,0.003718,-0.003844,0.595320
245,2480643423,0.803437,0.003704,-0.003848,0.595366
246,2480660090,0.803542,0.003717,-0.003849,0.595224
247,2480676757,0.803596,0.003724,-0.003840,0.595151
248,2480693424,0.803634,0.003724,-0.003844,0.595100
249,2480710091,0.803645,0.003728,-0.003847,0.595085
250,2480726758,0.803599,0.003714,-0.003849,0.595147
251,2480743425,0.803573,0.003713,-0.003852,0.595182
252,2480760092,0.803601,0.003708,-0.003853,0.595145
253,2480776759,0.803585,0.003718,-0.003848,0.595166
254,2480793426,0.803633,0.003714,-0.003849,0.595102
255,2480810093,0.803477,0.003723,-0.003845,0.595312
256,2480826760,0.803432,0.003720,-0.003851,0.595373
257,2480843427,0.803315,0.003729,-0.003843,0.595531
258,2480860094,0.803308,0.003726,-0.003848,0.595540
259,2480876761,0.803285,0.003726,-0.003856,0.595572
260,2480893428,0.803269,0.003731,-0.003853,0.595593
261,2480910095,0.803272,0.003726,-0.003853,0.595589
262,2480926762,0.803350,0.003733,-0.003857,0.595484
263,2480943429,0.803300,0.003744,-0.003861,0.595551
264,2480960096,0.803407,0.003741,-0.003858,0.595406
265,2480976763,0.803433,0.003741,-0.003853,0.595372
266,2480993430,0.803501,0.003745,-0.003856,0.595280
267,2481010097,0.803458,0.003750,-0.003848,0.595338
268,2481026764,0.803547,0.003737,-0.003853,0.595218
269,2481043431,0.803524,0.003742,-0.003854,0.595248
270,2481060098,0.803443,0.003761,-0.003850,0.595358
271,2481076765,0.803429,0.003771,-0.003837,0.595377
272,2481093432,0.803465,0.003765,-0.003839,0.595328
273,2481110099,0.803417,0.003770,-0.003837,0.595393
274,2481126766,0.803393,0.003765,-0.003840,0.595426
275,2481143433,0.803428,0.003762,-0.003843,0.595378
276,2481160100,0.803458,0.003755,-0.003847,0.595338
277,2481176767,0.803492,0.003764,-0.003842,0.595292
278,2481193434,0.803431,0.003775,-0.003840,0.595374
279,2481210101,0.803427,0.003762,-0.003837,0.595380
280,2481226768,0.803512,0.003762,-0.003831,0.595265
281,2481243435,0.803552,0.003768,-0.003832,0.595210
282,2481260102,0.803497,0.003759,-0.003823,0.595285
283,2481276769,0.803472,0.003781,-0.003813,0.595319
284,2481293436,0.803405,0.003777,-0.003815,0.595409
285,2481310103,0.803346,0.003770,-0.003822,0.595488
286,2481326770,0.803361,0.003767,-0.003825,0.595469
287,2481343437,0.803406,0.003766,-0.003826,0.595408
288,2481360104,0.803422,0.003776,-0.003830,0.595386
289,2481376771,0.803441,0.003773,-0.003828,0.595361
290,2481393438,0.803432,0.003781,-0.003826,0.595373
291,2481410105,0.803418,0.003789,-0.003825,0.595391
292,2481426772,0.803424,0.003789,-0.003832,0.595383
293,2481443439,0.803371,0.003793,-0.003825,0.595455
294,2481460106,0.803364,0.003801,-0.003824,0.595465
295,2481476773,0.803380,0.003805,-0.003820,0.595443
296,2481493440,0.803410,0.003798,-0.003814,0.595402
297,2481510107,0.803221,0.003800,-0.003802,0.595658
298,2481526774,0.803313,0.003802,-0.003800,0.595533
299,2481543441,0.803309,0.003796,-0.003799,0.595538
300,2481560108,0.803339,0.003802,-0.003808,0.595498
301,2481576775,0.803357,0.003801,-0.003806,0.595473
302,2481593442,0.803539,0.003799,-0.003808,0.595228
303,2481610109,0.803577,0.003805,-0.003799,0.595177
304,2481626776,0.803746,0.003806,-0.003802,0.594949
305,2481643443,0.803700,0.003798,-0.003798,0.595011
306,2481660110,0.803597,0.003796,-0.003799,0.595150
307,2481676777,0.803676,0.003795,-0.003791,0.595043
308,2481693444,0.803650,0.003801,-0.003796,0.595079
309,2481710111,0.803639,0.003806,-0.003789,0.595094
310,2481726778,0.803682,0.003805,-0.003796,0.595036
311,2481743445,0.803701,0.003807,-0.003790,0.595010
312,2481760112,0.803787,0.003807,-0.003789,0.594894
313,2481776779,0.803726,0.003803,-0.003789,0.594976
314,2481793446,0.803754,0.003804,-0.003790,0.594938
315,2481810113,0.803816,0.003803,-0.003784,0.594853
316,2481826780,0.803833,0.003801,-0.003780,0.594832
317,2481843447,0.803804,0.003799,-0.003777,0.594870
318,2481860114,0.803840,0.003794,-0.003767,0.594822
319,2481876781,0.803857,0.003777,-0.003775,0.594799
320,2481893448,0.803804,0.003775,-0.003784,0.594871
321,2481910115,0.803958,0.003778,-0.003786,0.594663
322,2481926782,0.803972,0.003781,-0.003791,0.594643
323,2481943449,0.803976,0.003768,-0.003797,0.594638
324,2481960116,0.803979,0.003777,-0.003795,0.594634
325,2481976783,0.803982,0.003777,-0.003796,0.594631
326,2481993450,0.803953,0.003785,-0.003790,0.594669
327,2482010117,0.803963,0.003794,-0.003787,0.594656
328,2482026784,0.804004,0.003786,-0.003787,0.594600
329,2482043451,0.804242,0.003783,-0.003784,0.594278
330,2482060118,0.804294,0.003785,-0.003788,0.594208
331,2482076785,0.804275,0.003790,-0.003784,0.594234
332,2482093452,0.804254,0.003781,-0.003785,0.594262
333,2482110119,0.804240,0.003778,-0.003789,0.594281
334,2482126786,0.804144,0.003781,-0.003792,0.594411
335,2482143453,0.804146,0.003778,-0.003793,0.594408
336,2482160120,0.804084,0.003780,-0.003798,0.594492
337,2482176787,0.804157,0.003773,-0.003807,0.594393
338,2482193454,0.804105,0.003767,-0.003820,0.594463
339,2482210121,0.804061,0.003768,-0.003824,0.594523
340,2482226788,0.804056,0.003765,-0.003840,0.594529
341,2482243455,0.804029,0.003773,-0.003837,0.594567
342,2482260122,0.804001,0.003771,-0.003837,0.594603
343,2482276789,0.803980,0.003769,-0.003834,0.594632
344,2482293456,0.803834,0.003772,-0.003832,0.594830
345,2482310123,0.803912,0.003788,-0.003826,0.594725
346,2482326790,0.803934,0.003788,-0.003820,0.594694
347,2482343457,0.804007,0.003789,-0.003824,0.594596
348,2482360124,0.803975,0.003780,-0.003819,0.594639
349,2482376791,0.804085,0.003779,-0.003819,0.594490
350,2482393458,0.804098,0.003772,-0.003804,0.594473
351,2482410125,0.804094,0.003774,-0.003810,0.594478
352,2482426792,0.804025,0.003782,-0.003813,0.594571
353,2482443459,0.803975,0.003779,-0.003806,0.594640
354,2482460126,0.804005,0.003780,-0.003813,0.594598
355,2482476793,0.804032,0.003775,-0.003814,0.594562
356,2482493460,0.804032,0.003729,-0.003849,0.594562
357,2482510127,0.804039,0.003727,-0.003851,0.594553
358,2482526794,0.804057,0.003725,-0.003845,0.594529
359,2482543461,0.803955,0.003722,-0.003852,0.594666
360,2482560128,0.803902,0.003716,-0.003855,0.594738
361,2482576795,0.803876,0.003710,-0.003850,0.594773
362,2482593462,0.803851,0.003713,-0.003854,0.594807
363,2482610129,0.803904,0.003717,-0.003847,0.594735
364,2482626796,0.803873,0.003712,-0.003856,0.594777
365,2482643463,0.803922,0.003713,-0.003852,0.594712
366,2482660130,0.803952,0.003707,-0.003849,0.594671
367,2482676797,0.803850,0.003708,-0.003843,0.594809
368,2482693464,0.803962,0.003718,-0.003841,0.594657
369,2482710131,0.803960,0.003722,-0.003846,0.594660
370,2482726798,0.803971,0.003729,-0.003847,0.594646
371,2482743465,0.803959,0.003715,-0.003842,0.594661
372,2482760132,0.804022,0.003707,-0.003828,0.594576
373,2482776799,0.804016,0.003698,-0.003827,0.594584
374,2482793466,0.804097,0.003692,-0.003828,0.594475
375,2482810133,0.804090,0.003694,-0.003835,0.594485
376,2482826800,0.804051,0.003697,-0.003827,0.594537
377,2482843467,0.804079,0.003683,-0.003820,0.594500
378,2482860134,0.804109,0.003689,-0.003811,0.594459
379,2482876801,0.804191,0.003696,-0.003801,0.594348
380,2482893468,0.804164,0.003694,-0.003802,0.594384
381,2482910135,0.804176,0.003695,-0.003801,0.594368
382,2482926802,0.804177,0.003686,-0.003803,0.594367
383,2482943469,0.804187,0.003685,-0.003797,0.594353
384,2482960136,0.804206,0.003683,-0.003800,0.594327
385,2482976803,0.804217,0.003685,-0.003799,0.594312
386,2482993470,0.804295,0.003688,-0.003797,0.594208
387,2483010137,0.804302,0.003679,-0.003799,0.594198
388,2483026804,0.804247,0.003661,-0.003813,0.594272
389,2483043471,0.804265,0.003655,-0.003824,0.594247
390,2483060138,0.804362,0.003665,-0.003821,0.594117
391,2483076805,0.804362,0.003662,-0.003823,0.594117
392,2483093472,0.804385,0.003660,-0.003815,0.594085
393,2483110139,0.804291,0.003661,-0.003812,0.594213
394,2483126806,0.804252,0.003659,-0.003814,0.594265
395,2483143473,0.804275,0.003656,-0.003808,0.594233
396,2483160140,0.804222,0.003660,-0.003799,0.594306
397,2483176807,0.804377,0.003648,-0.003803,0.594096
398,2483193474,0.804483,0.003654,-0.003803,0.593953
399,2483210141,0.804486,0.003646,-0.003802,0.593949
400,2483226808,0.804501,0.003640,-0.003804,0.593929
401,2483243475,0.804500,0.003637,-0.003795,0.593930
402,2483260142,0.804485,0.003633,-0.003798,0.593950
403,2483276809,0.804520,0.003641,-0.003797,0.593903
404,2483293476,0.804512,0.003641,-0.003793,0.593914
405,2483310143,0.804512,0.003636,-0.003794,0.593913
406,2483326810,0.804506,0.003643,-0.003800,0.593922
407,2483343477,0.804511,0.003643,-0.003803,0.593914
408,2483360144,0.804548,0.003653,-0.003803,0.593865
409,2483376811,0.804548,0.003665,-0.003797,0.593864
410,2483393478,0.804542,0.003658,-0.003803,0.593873
411,2483410145,0.804497,0.003647,-0.003806,0.593934
412,2483426812,0.804425,0.003654,-0.003808,0.594031
413,2483443479,0.804484,0.003656,-0.003806,0.593951
414,2483460146,0.804416,0.003659,-0.003801,0.594043
415,2483476813,0.804418,0.003659,-0.003807,0.594041
416,2483493480,0.804393,0.003660,-0.003803,0.594074
417,2483510147,0.804408,0.003664,-0.003806,0.594054
418,2483526814,0.804435,0.003662,-0.003817,0.594018
419,2483543481,0.804429,0.003664,-0.003810,0.594025
420,2483560148,0.804425,0.003670,-0.003816,0.594031
421,2483576815,0.804412,0.003662,-0.003827,0.594049
422,2483593482,0.804399,0.003669,-0.003825,0.594066
423,2483610149,0.804383,0.003675,-0.003820,0.594088
424,2483626816,0.804370,0.003682,-0.003814,0.594105
425,2483643483,0.804379,0.003678,-0.003818,0.594094
426,2483660150,0.804350,0.003677,-0.003826,0.594132
427,2483676817,0.804368,0.003683,-0.003829,0.594108
428,2483693484,0.804402,0.003680,-0.003828,0.594063
429,2483710151,0.804388,0.003673,-0.003817,0.594081
430,2483726818,0.804388,0.003661,-0.003813,0.594081
431,2483743485,0.804338,0.003663,-0.003809,0.594150
432,2483760152,0.804358,0.003655,-0.003811,0.594121
433,2483776819,0.804389,0.003651,-0.003815,0.594081
434,2483793486,0.804286,0.003654,-0.003816,0.594220
435,2483810153,0.804342,0.003654,-0.003818,0.594143
436,2483826820,0.804315,0.003643,-0.003823,0.594180
437,2483843487,0.804312,0.003639,-0.003826,0.594185
438,2483860154,0.804356,0.003630,-0.003828,0.594125
439,2483876821,0.804366,0.003624,-0.003831,0.594110
440,2483893488,0.804354,0.003626,-0.003832,0.594127
